Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-08-02 4:33AM","2020-08-02 5:40AM","64","3","2","67","N/A","N/A","N/A"
"2020-08-01 8:49PM","2020-08-02 1:56AM","261","46","16","307","61","169","31"
"2020-08-02 3:15AM","2020-08-02 4:17AM","41","0","1","62","N/A","N/A","N/A"
"2020-08-01 1:34AM","2020-08-01 4:38AM","158","26","13","184","35","100","23"
"2020-08-01 1:20PM","2020-08-01 2:08PM","46","0","1","48","N/A","N/A","N/A"
"2020-07-31 10:42PM","2020-07-31 11:45PM","56","5","1","63","N/A","N/A","N/A"
"2020-07-31 8:15PM","2020-07-31 9:26PM","63","6","2","71","N/A","N/A","N/A"
"2020-07-31 2:30AM","2020-07-31 5:45AM","172","23","8","195","27","105","40"
"2020-07-30 8:23PM","2020-07-30 10:17PM","108","6","1","114","N/A","N/A","N/A"
"2020-07-30 11:34AM","2020-07-30 12:53PM","76","3","1","79","N/A","N/A","N/A"
"2020-07-30 5:10AM","2020-07-30 5:55AM","41","0","1","45","N/A","N/A","N/A"
"2020-07-29 8:24PM","2020-07-29 11:24PM","159","21","6","180","33","97","29"
"2020-07-29 11:06AM","2020-07-29 12:36PM","74","15","1","90","N/A","N/A","N/A"
"2020-07-29 12:11AM","2020-07-29 2:44AM","149","4","1","153","N/A","N/A","N/A"
"2020-07-28 11:50AM","2020-07-28 1:51PM","114","4","1","121","N/A","N/A","N/A"
"2020-07-28 1:02AM","2020-07-28 3:07AM","122","3","1","125","N/A","N/A","N/A"
"2020-07-28 9:50PM","2020-07-28 10:54PM","46","7","6","64","N/A","N/A","N/A"
"2020-07-27 3:18AM","2020-07-27 5:59AM","154","7","2","161","N/A","N/A","N/A"
"2020-07-26 8:58PM","2020-07-26 11:28PM","145","4","1","150","N/A","N/A","N/A"
"2020-07-26 4:07AM","2020-07-26 6:15AM","127","1","0","128","N/A","N/A","N/A"
"2020-07-25 8:53PM","2020-07-25 11:45PM","168","4","1","172","N/A","N/A","N/A"
"2020-07-25 2:07AM","2020-07-25 4:43AM","149","7","1","156","N/A","N/A","N/A"
"2020-07-25 5:10AM","2020-07-25 5:50AM","29","0","0","40","N/A","N/A","N/A"
"2020-07-24 8:15PM","2020-07-24 10:08PM","105","8","1","113","N/A","N/A","N/A"
"2020-07-24 10:33AM","2020-07-24 11:47AM","67","7","1","74","N/A","N/A","N/A"
"2020-07-24 12:38AM","2020-07-24 2:24AM","102","4","1","106","N/A","N/A","N/A"
"2020-07-23 8:58PM","2020-07-23 11:29PM","133","18","1","151","N/A","N/A","N/A"
"2020-07-23 11:35AM","2020-07-23 12:51PM","73","3","0","76","N/A","N/A","N/A"
"2020-07-23 1:59AM","2020-07-23 4:05AM","119","5","1","126","N/A","N/A","N/A"
"2020-07-23 5:15AM","2020-07-23 6:00AM","43","0","1","45","N/A","N/A","N/A"
"2020-07-22 8:17PM","2020-07-22 9:51PM","91","2","0","94","N/A","N/A","N/A"
"2020-07-22 11:26AM","2020-07-22 1:18PM","107","5","1","112","N/A","N/A","N/A"
"2020-07-22 2:02AM","2020-07-22 4:24AM","135","4","1","142","N/A","N/A","N/A"
"2020-07-21 8:43PM","2020-07-21 10:15PM","89","3","0","92","N/A","N/A","N/A"
"2020-07-21 11:17AM","2020-07-21 12:47PM","84","6","1","90","N/A","N/A","N/A"
"2020-07-21 12:48AM","2020-07-21 3:58AM","163","27","5","190","5","144","14"
"2020-07-20 2:00PM","2020-07-20 3:04PM","56","7","3","63","N/A","N/A","N/A"
"2020-07-20 3:35AM","2020-07-20 5:02AM","81","5","1","87","N/A","N/A","N/A"
"2020-07-19 10:22PM","2020-07-19 11:32PM","65","5","1","70","N/A","N/A","N/A"
"2020-07-19 12:55PM","2020-07-19 1:59PM","59","5","0","64","N/A","N/A","N/A"
"2020-07-18 2:34AM","2020-07-18 6:05AM","183","28","15","211","61","84","38"
"2020-07-17 9:49PM","2020-07-18 1:03AM","172","22","12","194","38","95","39"
"2020-07-16 8:44PM","2020-07-17 5:56AM","487","65","40","552","84","309","94"
"2020-07-16 4:23AM","2020-07-16 5:57AM","89","5","0","94","N/A","N/A","N/A"
"2020-07-15 10:27PM","2020-07-16 2:01AM","188","26","15","214","35","117","36"
"2020-07-14 8:42PM","2020-07-15 6:10AM","509","59","39","568","117","286","106"
"2020-07-13 9:22PM","2020-07-14 3:22AM","310","50","21","360","78","169","63"
"2020-07-12 9:46PM","2020-07-13 5:37AM","419","52","31","471","84","254","81"
"2020-07-11 10:53PM","2020-07-12 5:50AM","364","53","28","417","73","244","47"
"2020-07-10 9:42PM","2020-07-11 6:09AM","453","54","35","507","96","308","49"
"2020-07-09 9:41PM","2020-07-10 5:51AM","441","49","35","490","81","289","71"
"2020-07-09 2:34AM","2020-07-09 5:53AM","180","18","16","198","41","116","23"
"2020-07-08 8:52PM","2020-07-09 12:29AM","191","26","19","217","34","133","24"
"2020-07-07 8:19PM","2020-07-08 5:04AM","464","61","38","525","136","238","90"
"2020-07-06 10:52PM","2020-07-07 5:58AM","388","38","29","426","102","234","52"
"2020-07-06 2:02AM","2020-07-06 5:52AM","200","29","16","229","44","137","19"
"2020-07-05 9:18PM","2020-07-06 12:29AM","178","13","16","191","41","97","40"
"2020-07-04 10:00PM","2020-07-05 5:53AM","448","20","1","473","N/A","N/A","N/A"

