Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2018-01-14 7:50PM","2018-01-15 2:00AM","337","33","21","370","61","193","83"
"2018-01-15 3:40AM","2018-01-15 5:30AM","76","4","0","110","N/A","N/A","N/A"
"2018-01-13 8:01PM","2018-01-14 2:32AM","364","25","16","389","69","252","43"
"2018-01-13 3:46AM","2018-01-13 5:10AM","79","5","1","84","N/A","N/A","N/A"
"2018-01-12 8:53PM","2018-01-13 12:50AM","208","24","9","232","43","138","27"
"2018-01-13 1:45AM","2018-01-13 2:45AM","51","1","0","60","N/A","N/A","N/A"
"2018-01-12 1:36AM","2018-01-12 5:47AM","206","36","3","251","N/A","N/A","N/A"
"2018-01-11 7:53PM","2018-01-11 11:36PM","195","28","8","223","42","110","43"
"2018-01-11 12:15AM","2018-01-11 3:45AM","172","1","2","210","N/A","N/A","N/A"
"2018-01-10 1:45AM","2018-01-10 5:00AM","171","24","14","195","45","103","23"
"2018-01-10 7:50PM","2018-01-10 11:30PM","182","23","8","205","24","116","42"
"2018-01-09 8:45PM","2018-01-10 12:45AM","224","16","13","240","57","143","24"
"2018-01-09 12:14AM","2018-01-09 4:38AM","224","40","21","264","38","156","30"
"2018-01-08 3:40AM","2018-01-08 5:30AM","98","0","0","110","N/A","N/A","N/A"
"2018-01-08 8:00PM","2018-01-08 11:30PM","189","5","8","194","37","116","36"
"2018-01-08 12:51AM","2018-01-08 3:00AM","106","1","0","129","N/A","N/A","N/A"
"2018-01-07 7:50PM","2018-01-07 11:36PM","200","26","10","226","43","130","27"
"2018-01-07 1:19AM","2018-01-07 4:12AM","163","7","1","173","N/A","N/A","N/A"
"2018-01-06 7:47PM","2018-01-06 11:13PM","195","11","5","206","60","100","35"
"2018-01-05 9:04PM","2018-01-06 1:35AM","241","30","16","271","51","141","49"
"2018-01-05 12:49AM","2018-01-05 4:19AM","182","28","15","210","51","92","39"
"2018-01-04 7:50PM","2018-01-05 12:20AM","218","21","10","239","69","110","39"
"2018-01-03 7:53PM","2018-01-04 2:18AM","334","51","19","385","48","245","41"
"2018-01-03 2:39AM","2018-01-03 4:02AM","76","5","1","83","N/A","N/A","N/A"
"2018-01-02 8:40PM","2018-01-03 2:00AM","271","28","10","299","48","190","33"
"2018-01-02 12:21AM","2018-01-02 4:48AM","229","38","10","267","57","160","12"
"2018-01-01 4:40AM","2018-01-01 5:40AM","54","0","0","60","N/A","N/A","N/A"
"2018-01-01 8:01PM","2018-01-01 11:25PM","183","17","11","200","40","100","43"
"2018-01-01 2:23AM","2018-01-01 4:10AM","93","1","0","107","N/A","N/A","N/A"
"2017-12-31 9:10PM","2018-01-01 1:52AM","256","13","2","282","N/A","N/A","N/A"
"2017-12-31 2:00AM","2017-12-31 4:40AM","146","0","0","160","N/A","N/A","N/A"
"2017-12-30 9:20PM","2017-12-31 1:40AM","214","6","8","220","50","119","45"
"2017-12-29 8:30PM","2017-12-30 4:00AM","417","33","23","450","111","234","72"
"2017-12-29 3:02AM","2017-12-29 5:16AM","129","5","1","134","N/A","N/A","N/A"
"2017-12-28 8:35PM","2017-12-29 1:37AM","266","36","19","302","44","186","36"
"2017-12-28 2:28AM","2017-12-28 4:38AM","124","6","0","130","N/A","N/A","N/A"
"2017-12-27 7:57PM","2017-12-28 12:44AM","260","27","15","287","51","154","55"
"2017-12-26 7:56PM","2017-12-27 1:15AM","277","42","15","319","44","190","43"
"2017-12-27 2:10AM","2017-12-27 5:30AM","185","3","2","200","N/A","N/A","N/A"
"2017-12-25 8:30PM","2017-12-26 3:00AM","338","52","22","390","60","218","60"
"2017-12-26 3:30AM","2017-12-26 5:30AM","100","2","1","120","N/A","N/A","N/A"
"2017-12-25 3:11AM","2017-12-25 5:30AM","124","0","1","139","N/A","N/A","N/A"
"2017-12-24 7:57PM","2017-12-25 1:15AM","287","31","16","318","57","175","55"
"2017-12-24 3:10AM","2017-12-24 5:42AM","146","4","0","151","N/A","N/A","N/A"
"2017-12-23 8:21PM","2017-12-24 12:27AM","215","31","10","246","61","110","44"
"2017-12-23 1:29AM","2017-12-23 5:00AM","185","26","10","211","68","92","25"
"2017-12-22 8:08PM","2017-12-23 12:25AM","232","25","14","257","40","175","17"
"2017-12-22 1:12AM","2017-12-22 5:08AM","212","24","12","236","60","104","48"
"2017-12-21 11:30PM","2017-12-22 12:25AM","41","0","1","55","N/A","N/A","N/A"
"2017-12-21 9:09PM","2017-12-21 10:36PM","84","3","1","87","N/A","N/A","N/A"
"2017-12-21 1:38AM","2017-12-21 5:28AM","194","36","13","230","24","140","30"
"2017-12-20 11:40PM","2017-12-21 12:35AM","45","3","2","55","N/A","N/A","N/A"

