Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2017-11-22 12:58AM","2017-11-22 5:59AM","272","29","16","301","66","149","57"
"2017-11-21 9:21PM","2017-11-21 10:58PM","88","8","1","96","N/A","N/A","N/A"
"2017-11-21 1:45AM","2017-11-21 5:30AM","218","3","1","225","N/A","N/A","N/A"
"2017-11-19 9:06PM","2017-11-20 12:08AM","154","20","9","174","22","105","27"
"2017-11-20 4:00AM","2017-11-20 6:05AM","120","3","0","125","N/A","N/A","N/A"
"2017-11-20 1:00AM","2017-11-20 2:15AM","71","0","1","75","N/A","N/A","N/A"
"2017-11-19 2:45AM","2017-11-19 5:37AM","161","11","2","172","N/A","N/A","N/A"
"2017-11-18 8:46PM","2017-11-19 12:00AM","182","12","3","194","40","142","0"
"2017-11-18 1:20AM","2017-11-18 6:01AM","276","5","0","281","N/A","N/A","N/A"
"2017-11-16 8:47PM","2017-11-17 1:08AM","236","25","11","261","51","150","35"
"2017-11-16 1:51AM","2017-11-16 3:56AM","112","13","3","125","N/A","N/A","N/A"
"2017-11-15 10:28PM","2017-11-16 12:19AM","107","4","1","111","N/A","N/A","N/A"
"2017-11-15 2:01AM","2017-11-15 4:07AM","120","6","1","126","N/A","N/A","N/A"
"2017-11-14 9:56PM","2017-11-15 12:32AM","142","14","1","156","N/A","N/A","N/A"
"2017-11-14 2:35AM","2017-11-14 6:09AM","192","22","10","214","49","128","15"
"2017-11-13 4:19AM","2017-11-13 6:05AM","100","6","1","106","N/A","N/A","N/A"
"2017-11-12 11:30PM","2017-11-13 12:32AM","50","4","4","62","N/A","N/A","N/A"
"2017-11-12 9:36PM","2017-11-12 10:37PM","61","0","0","61","N/A","N/A","N/A"
"2017-11-12 2:33AM","2017-11-12 6:42AM","228","15","2","249","N/A","N/A","N/A"
"2017-11-11 8:44PM","2017-11-11 11:27PM","153","10","2","163","N/A","N/A","N/A"
"2017-11-11 1:59AM","2017-11-11 6:36AM","235","42","12","277","61","140","34"
"2017-11-10 8:41PM","2017-11-11 12:06AM","190","15","10","205","42","126","22"
"2017-11-10 2:51AM","2017-11-10 4:47AM","109","7","1","116","N/A","N/A","N/A"
"2017-11-09 8:29PM","2017-11-10 12:54AM","242","23","15","265","40","177","25"
"2017-11-08 10:08PM","2017-11-09 1:44AM","188","13","6","201","24","121","43"
"2017-11-09 2:30AM","2017-11-09 3:45AM","67","6","1","75","N/A","N/A","N/A"
"2017-11-08 2:45AM","2017-11-08 5:38AM","167","5","1","173","N/A","N/A","N/A"
"2017-11-07 9:33PM","2017-11-08 12:38AM","160","25","9","185","11","126","23"
"2017-11-07 1:25AM","2017-11-07 5:29AM","211","33","14","244","62","114","35"
"2017-11-06 9:34PM","2017-11-06 11:34PM","113","4","1","120","N/A","N/A","N/A"
"2017-11-06 1:15AM","2017-11-06 4:55AM","176","44","14","220","36","93","47"
"2017-11-05 7:52PM","2017-11-06 12:05AM","228","25","12","253","42","153","33"
"2017-11-04 8:56PM","2017-11-05 12:54AM","226","7","1","238","N/A","N/A","N/A"
"2017-11-05 2:00AM","2017-11-05 5:55AM","209","24","1","235","N/A","N/A","N/A"
"2017-11-04 2:10AM","2017-11-04 5:30AM","178","22","16","200","54","110","14"
"2017-11-03 8:39PM","2017-11-04 1:00AM","244","17","10","261","39","164","41"
"2017-11-03 3:47AM","2017-11-03 6:00AM","122","2","0","133","N/A","N/A","N/A"
"2017-11-02 9:41PM","2017-11-03 2:15AM","248","26","14","274","51","174","23"
"2017-11-02 3:20AM","2017-11-02 5:11AM","73","0","1","111","N/A","N/A","N/A"
"2017-11-01 9:23PM","2017-11-02 1:25AM","219","23","11","242","46","133","40"
"2017-11-01 5:18AM","2017-11-01 6:43AM","79","6","2","85","N/A","N/A","N/A"
"2017-11-01 12:05AM","2017-11-01 3:38AM","188","24","9","212","44","96","48"

