Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2017-12-21 1:38AM","2017-12-21 5:28AM","194","36","13","230","24","140","30"
"2017-12-20 11:40PM","2017-12-21 12:35AM","45","3","2","55","N/A","N/A","N/A"
"2017-12-20 8:14PM","2017-12-20 10:15PM","112","9","1","121","N/A","N/A","N/A"
"2017-12-20 1:42AM","2017-12-20 5:30AM","218","4","0","228","N/A","N/A","N/A"
"2017-12-19 9:55PM","2017-12-20 12:07AM","122","9","1","132","N/A","N/A","N/A"
"2017-12-19 1:34AM","2017-12-19 5:30AM","214","22","14","236","50","124","40"
"2017-12-18 8:28PM","2017-12-18 11:48PM","185","15","11","200","40","124","21"
"2017-12-18 2:04AM","2017-12-18 5:29AM","183","22","15","205","69","109","5"
"2017-12-17 10:20PM","2017-12-18 12:50AM","150","0","0","150","N/A","N/A","N/A"
"2017-12-17 6:31AM","2017-12-17 8:49AM","124","14","1","138","N/A","N/A","N/A"
"2017-12-16 9:00PM","2017-12-16 11:54PM","170","0","1","174","N/A","N/A","N/A"
"2017-12-16 3:57AM","2017-12-16 5:30AM","90","3","0","93","N/A","N/A","N/A"
"2017-12-15 8:22PM","2017-12-16 1:09AM","258","29","14","287","49","159","50"
"2017-12-15 1:35AM","2017-12-15 5:35AM","212","28","15","240","55","143","14"
"2017-12-14 8:42PM","2017-12-15 12:29AM","210","17","5","227","46","140","24"
"2017-12-14 3:07AM","2017-12-14 5:29AM","137","4","0","142","N/A","N/A","N/A"
"2017-12-13 7:51PM","2017-12-14 1:51AM","319","41","16","360","44","222","53"
"2017-12-13 1:50AM","2017-12-13 5:33AM","199","24","17","223","41","137","21"
"2017-12-12 8:42PM","2017-12-13 12:20AM","198","20","6","218","65","90","43"
"2017-12-12 3:36AM","2017-12-12 5:29AM","109","4","0","113","N/A","N/A","N/A"
"2017-12-11 8:07PM","2017-12-12 12:32AM","246","19","13","265","48","153","45"
"2017-12-11 2:13AM","2017-12-11 5:45AM","190","22","14","212","65","93","32"
"2017-12-10 9:47PM","2017-12-11 12:47AM","175","4","1","179","N/A","N/A","N/A"
"2017-12-10 1:56AM","2017-12-10 5:30AM","179","35","18","214","23","123","33"
"2017-12-09 8:13PM","2017-12-10 12:39AM","246","20","9","266","34","175","37"
"2017-12-09 2:51AM","2017-12-09 5:51AM","153","27","6","180","24","110","19"
"2017-12-08 8:05PM","2017-12-08 11:14PM","173","16","10","189","31","104","38"
"2017-12-08 1:00AM","2017-12-08 3:30AM","140","1","1","150","N/A","N/A","N/A"
"2017-12-07 2:33AM","2017-12-07 5:38AM","162","23","7","185","49","73","40"
"2017-12-06 11:49PM","2017-12-07 1:21AM","88","4","1","92","N/A","N/A","N/A"
"2017-12-07 9:00PM","2017-12-07 11:05PM","125","0","0","125","N/A","N/A","N/A"

