Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-09-11 3:18AM","2020-09-11 6:37AM","181","18","10","199","35","124","22"
"2020-09-10 9:25PM","2020-09-11 1:47AM","233","29","12","262","54","132","47"
"2020-09-10 12:56AM","2020-09-10 3:07AM","120","11","1","131","N/A","N/A","N/A"
"2020-09-09 9:02PM","2020-09-09 11:54PM","166","6","1","172","N/A","N/A","N/A"
"2020-09-09 2:30AM","2020-09-09 5:20AM","155","7","2","170","N/A","N/A","N/A"
"2020-09-08 10:50PM","2020-09-09 1:35AM","158","0","2","165","N/A","N/A","N/A"
"2020-09-08 3:11AM","2020-09-08 5:34AM","133","10","1","143","N/A","N/A","N/A"
"2020-09-07 8:42PM","2020-09-08 1:25AM","249","34","15","283","41","166","42"
"2020-09-07 5:01AM","2020-09-07 6:22AM","81","0","0","81","N/A","N/A","N/A"
"2020-09-07 1:49AM","2020-09-07 3:56AM","121","5","0","126","N/A","N/A","N/A"
"2020-09-06 9:28PM","2020-09-07 12:14AM","158","8","1","166","N/A","N/A","N/A"
"2020-09-06 2:13AM","2020-09-06 4:21AM","122","3","0","128","N/A","N/A","N/A"
"2020-09-05 8:47PM","2020-09-06 12:29AM","202","20","13","222","30","131","41"
"2020-09-05 3:58AM","2020-09-05 5:41AM","95","5","1","103","N/A","N/A","N/A"
"2020-09-04 8:18PM","2020-09-05 2:45AM","342","45","26","387","86","190","66"
"2020-09-03 8:55PM","2020-09-04 1:10AM","230","25","13","255","58","144","28"
"2020-09-04 2:10AM","2020-09-04 4:00AM","105","2","1","110","N/A","N/A","N/A"
"2020-09-03 12:22PM","2020-09-03 1:51PM","86","3","1","89","N/A","N/A","N/A"
"2020-09-02 9:03PM","2020-09-03 12:30AM","190","17","10","207","30","113","47"
"2020-09-03 1:30AM","2020-09-03 3:45AM","134","1","0","135","N/A","N/A","N/A"
"2020-09-02 2:10AM","2020-09-02 4:14AM","123","1","0","124","N/A","N/A","N/A"
"2020-09-01 10:35PM","2020-09-02 1:10AM","148","2","1","155","N/A","N/A","N/A"
"2020-09-01 2:10AM","2020-09-01 4:23AM","121","12","1","133","N/A","N/A","N/A"
"2020-08-31 9:12PM","2020-09-01 1:00AM","196","32","9","228","44","129","23"
"2020-08-31 4:21AM","2020-08-31 6:05AM","98","5","1","104","N/A","N/A","N/A"
"2020-08-30 10:19PM","2020-08-31 12:38AM","137","2","1","139","N/A","N/A","N/A"
"2020-08-30 1:56PM","2020-08-30 3:01PM","62","2","1","65","N/A","N/A","N/A"
"2020-08-29 9:22PM","2020-08-30 1:07AM","199","26","19","225","56","120","23"
"2020-08-29 1:37PM","2020-08-29 2:54PM","74","3","0","77","N/A","N/A","N/A"
"2020-08-29 1:33AM","2020-08-29 3:30AM","103","5","0","117","N/A","N/A","N/A"
"2020-08-28 9:08PM","2020-08-29 12:20AM","172","20","11","192","57","75","40"
"2020-08-29 4:30AM","2020-08-29 6:07AM","86","2","1","97","N/A","N/A","N/A"
"2020-08-27 10:36PM","2020-08-28 12:48AM","123","0","2","132","N/A","N/A","N/A"
"2020-08-28 1:50AM","2020-08-28 5:50AM","216","24","13","240","61","98","57"
"2020-08-27 4:20AM","2020-08-27 6:05AM","88","5","1","105","N/A","N/A","N/A"
"2020-08-26 9:51PM","2020-08-27 12:37AM","157","9","1","166","N/A","N/A","N/A"
"2020-08-27 2:04AM","2020-08-27 3:30AM","82","0","1","86","N/A","N/A","N/A"

