Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2017-12-06 1:39AM","2017-12-06 5:30AM","208","23","14","231","43","135","30"
"2017-12-05 9:00PM","2017-12-06 12:11AM","171","12","3","191","N/A","N/A","N/A"
"2017-12-05 2:35AM","2017-12-05 5:39AM","164","20","14","184","47","83","34"
"2017-12-04 8:42PM","2017-12-05 12:09AM","182","25","13","207","33","120","29"
"2017-12-04 2:38AM","2017-12-04 5:17AM","149","10","0","159","N/A","N/A","N/A"
"2017-12-03 9:20PM","2017-12-04 1:10AM","212","18","11","230","64","98","50"
"2017-12-03 2:52AM","2017-12-03 5:09AM","128","9","1","137","N/A","N/A","N/A"
"2017-12-02 8:58PM","2017-12-03 1:37AM","237","42","15","279","27","139","71"
"2017-12-02 2:19AM","2017-12-02 6:39AM","214","46","9","260","10","167","37"
"2017-12-01 9:12PM","2017-12-02 1:14AM","212","30","8","242","18","147","47"
"2017-12-01 2:29AM","2017-12-01 6:45AM","215","41","13","256","16","184","15"
"2017-11-30 8:39PM","2017-12-01 1:15AM","246","30","15","276","33","208","5"
"2017-11-29 8:41PM","2017-11-30 2:50AM","331","38","18","369","55","207","69"
"2017-11-29 3:24AM","2017-11-29 5:30AM","115","10","1","126","N/A","N/A","N/A"
"2017-11-28 9:30PM","2017-11-28 11:30PM","108","0","2","120","N/A","N/A","N/A"
"2017-11-28 2:55AM","2017-11-28 5:29AM","147","7","0","154","N/A","N/A","N/A"
"2017-11-27 8:58PM","2017-11-28 12:56AM","224","14","9","238","57","130","37"
"2017-11-27 3:38AM","2017-11-27 5:54AM","127","9","0","136","N/A","N/A","N/A"
"2017-11-26 11:10PM","2017-11-27 2:26AM","181","15","10","196","44","115","22"
"2017-11-26 4:11AM","2017-11-26 6:23AM","129","3","0","132","N/A","N/A","N/A"
"2017-11-25 9:21PM","2017-11-25 11:33PM","128","4","0","132","N/A","N/A","N/A"
"2017-11-25 2:03AM","2017-11-25 6:41AM","250","28","11","278","80","127","43"
"2017-11-24 9:01PM","2017-11-24 11:03PM","117","4","1","122","N/A","N/A","N/A"
"2017-11-24 1:48AM","2017-11-24 7:00AM","278","34","17","312","81","152","45"
"2017-11-23 1:00AM","2017-11-23 6:30AM","295","26","3","330","N/A","N/A","N/A"
"2017-11-22 9:02PM","2017-11-23 12:10AM","166","22","6","188","15","135","16"
"2017-11-22 12:58AM","2017-11-22 5:59AM","272","29","16","301","66","149","57"

