Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-08-26 2:04AM","2020-08-26 5:13AM","171","17","13","188","44","103","24"
"2020-08-25 10:29PM","2020-08-26 12:58AM","147","0","1","149","N/A","N/A","N/A"
"2020-08-25 4:18AM","2020-08-25 5:42AM","74","9","1","84","N/A","N/A","N/A"
"2020-08-25 1:11AM","2020-08-25 3:11AM","107","12","0","119","N/A","N/A","N/A"
"2020-08-24 9:41PM","2020-08-25 12:02AM","130","0","0","141","N/A","N/A","N/A"
"2020-08-25 8:45PM","2020-08-25 9:50PM","60","0","1","65","N/A","N/A","N/A"
"2020-08-24 2:20AM","2020-08-24 5:54AM","187","27","16","214","49","114","24"
"2020-08-23 10:09PM","2020-08-24 12:57AM","160","8","1","168","N/A","N/A","N/A"
"2020-08-23 1:56AM","2020-08-23 5:50AM","198","36","11","234","54","119","25"
"2020-08-22 2:52AM","2020-08-22 4:06AM","71","0","1","74","N/A","N/A","N/A"
"2020-08-21 9:53PM","2020-08-22 12:41AM","158","10","2","168","N/A","N/A","N/A"
"2020-08-22 4:40AM","2020-08-22 6:05AM","82","0","1","85","N/A","N/A","N/A"
"2020-08-21 2:10AM","2020-08-21 4:00AM","100","0","1","110","N/A","N/A","N/A"
"2020-08-21 4:30AM","2020-08-21 6:10AM","98","0","0","100","N/A","N/A","N/A"
"2020-08-20 8:38PM","2020-08-20 10:10PM","88","0","1","92","N/A","N/A","N/A"
"2020-08-20 10:45PM","2020-08-20 11:57PM","71","0","0","72","N/A","N/A","N/A"
"2020-08-20 3:29AM","2020-08-20 5:45AM","127","3","1","136","N/A","N/A","N/A"
"2020-08-20 12:00AM","2020-08-20 2:30AM","139","8","1","150","N/A","N/A","N/A"
"2020-08-19 9:29PM","2020-08-19 11:00PM","79","0","1","91","N/A","N/A","N/A"
"2020-08-19 1:12PM","2020-08-19 2:32PM","76","4","1","80","N/A","N/A","N/A"
"2020-08-19 3:45AM","2020-08-19 6:22AM","151","6","1","157","N/A","N/A","N/A"
"2020-08-19 12:34AM","2020-08-19 2:33AM","112","6","1","119","N/A","N/A","N/A"
"2020-08-18 3:00AM","2020-08-18 5:44AM","155","9","1","164","N/A","N/A","N/A"
"2020-08-17 10:31PM","2020-08-18 1:38AM","156","31","11","187","28","89","39"
"2020-08-17 3:00AM","2020-08-17 5:29AM","138","8","1","149","N/A","N/A","N/A"
"2020-08-16 11:59PM","2020-08-17 1:25AM","74","12","1","86","N/A","N/A","N/A"
"2020-08-16 8:27PM","2020-08-16 9:47PM","77","3","1","80","N/A","N/A","N/A"
"2020-08-16 4:41AM","2020-08-16 6:18AM","86","5","2","97","N/A","N/A","N/A"
"2020-08-15 11:11PM","2020-08-16 1:17AM","122","4","1","126","N/A","N/A","N/A"
"2020-08-16 2:20AM","2020-08-16 4:08AM","107","1","0","108","N/A","N/A","N/A"
"2020-08-15 3:38AM","2020-08-15 5:41AM","116","7","1","123","N/A","N/A","N/A"
"2020-08-14 11:25PM","2020-08-15 12:30AM","57","3","2","65","N/A","N/A","N/A"
"2020-08-14 8:11PM","2020-08-14 9:56PM","90","15","2","105","N/A","N/A","N/A"
"2020-08-14 1:19AM","2020-08-14 5:49AM","234","36","16","270","50","158","26"
"2020-08-13 10:22PM","2020-08-14 12:15AM","107","0","1","113","N/A","N/A","N/A"
"2020-08-13 1:48AM","2020-08-13 6:12AM","225","39","16","264","27","156","42"
"2020-08-12 10:04PM","2020-08-13 12:30AM","140","6","1","146","N/A","N/A","N/A"
"2020-08-12 12:27AM","2020-08-12 2:30AM","108","0","1","123","N/A","N/A","N/A"
"2020-08-12 3:15AM","2020-08-12 5:50AM","150","5","0","155","N/A","N/A","N/A"
"2020-08-11 3:00AM","2020-08-11 5:31AM","148","2","0","150","N/A","N/A","N/A"
"2020-08-10 11:29PM","2020-08-11 12:50AM","75","0","1","81","N/A","N/A","N/A"
"2020-08-10 8:16PM","2020-08-10 10:27PM","127","4","0","131","N/A","N/A","N/A"
"2020-08-10 2:10AM","2020-08-10 6:00AM","190","40","13","230","32","135","23"
"2020-08-09 10:50PM","2020-08-10 12:46AM","98","7","0","116","N/A","N/A","N/A"
"2020-08-09 4:11AM","2020-08-09 6:17AM","119","6","1","126","N/A","N/A","N/A"
"2020-08-09 8:35PM","2020-08-09 9:50PM","69","0","0","75","N/A","N/A","N/A"
"2020-08-08 10:45PM","2020-08-09 12:22AM","91","6","1","97","N/A","N/A","N/A"
"2020-08-08 8:01PM","2020-08-08 9:42PM","85","16","2","101","N/A","N/A","N/A"
"2020-08-08 3:15AM","2020-08-08 6:10AM","166","8","1","175","N/A","N/A","N/A"
"2020-08-07 11:44PM","2020-08-08 1:30AM","86","5","2","106","N/A","N/A","N/A"
"2020-08-07 8:19PM","2020-08-07 10:45PM","126","2","0","146","N/A","N/A","N/A"
"2020-08-07 2:12AM","2020-08-07 5:53AM","196","25","10","221","46","104","46"
"2020-08-06 8:22PM","2020-08-06 9:24PM","59","3","1","62","N/A","N/A","N/A"
"2020-08-06 4:43AM","2020-08-06 6:15AM","86","6","1","92","N/A","N/A","N/A"
"2020-08-06 12:30AM","2020-08-06 1:27AM","32","0","1","57","N/A","N/A","N/A"
"2020-08-06 2:20AM","2020-08-06 2:56AM","22","0","0","36","N/A","N/A","N/A"
"2020-08-05 8:53PM","2020-08-05 11:51PM","157","21","2","178","N/A","N/A","N/A"
"2020-08-05 2:22AM","2020-08-05 3:49AM","77","10","2","87","N/A","N/A","N/A"
"2020-08-04 11:20PM","2020-08-05 12:15AM","29","0","0","55","N/A","N/A","N/A"
"2020-08-05 5:20AM","2020-08-05 6:00AM","38","0","1","40","N/A","N/A","N/A"
"2020-08-04 8:33PM","2020-08-04 10:09PM","91","5","1","96","N/A","N/A","N/A"
"2020-08-04 2:12AM","2020-08-04 5:54AM","198","21","3","222","N/A","N/A","N/A"
"2020-08-03 8:26PM","2020-08-03 9:39PM","68","5","0","73","N/A","N/A","N/A"
"2020-08-03 10:35PM","2020-08-03 11:15PM","30","0","3","40","N/A","N/A","N/A"
"2020-08-03 1:48AM","2020-08-03 5:03AM","176","19","12","195","6","139","31"

